ticker,debtToEquity(%),currentRatio(%),ROE(%),Runway(Years),TotalCash(M$),FreeCashflow(M$),OperatingCashflow(M$),NetIncome(M$),PBR,BPS($),lastUpdated
RKLB,40.33,317.6,-23.24,8.78,976.74,-111.28,-103.38,-197.63,37.31,2.58,2026-01-20 21:22:26
LMT,358.987,112.9,62.78,inf,3470.0,4426.5,6361.0,4200.0,21.67,26.87,2026-01-20 21:22:26
RTX,61.315,107.3,10.7,inf,5966.0,4316.13,7963.0,6592.0,4.2,48.12,2026-01-20 21:22:27
LHX,60.629,114.4,9.13,inf,339.0,2759.38,2273.0,1759.0,3.32,104.36,2026-01-20 21:22:28
LUNR,152.254,628.2,-177.46,30.89,621.97,-20.14,-8.99,-193.22,-6.29,-3.43,2026-01-20 21:22:29
BA,,118.2,,4.68,22275.0,-4762.87,-3716.0,-10167.0,-22.79,-10.87,2026-01-20 21:22:30
NOC,109.401,110.9,26.15,inf,1957.0,2280.38,3438.0,4019.0,5.96,111.97,2026-01-20 21:22:31
ASTS,44.433,956.0,-39.03,1.44,1204.28,-836.15,-164.93,-303.83,25.38,4.56,2026-01-20 21:22:32
SPCE,211.671,286.8,-98.87,1.1,393.57,-356.63,-268.7,-292.6,0.87,3.58,2026-01-20 21:22:32
VSAT,154.784,207.7,-10.17,inf,1230.07,636.72,1058.6,-522.34,1.37,33.45,2026-01-20 21:22:33
RDW,22.155,140.8,-39.85,0.42,52.28,-123.28,-146.0,-268.03,1.96,5.98,2026-01-20 21:22:34
PL,131.982,399.9,-31.83,inf,677.32,15.07,107.42,-129.56,25.81,1.11,2026-01-20 21:22:35
AVAV,18.694,508.0,-2.64,1.85,588.48,-318.16,-194.84,-69.56,4.42,88.89,2026-01-20 21:22:36
FLY,4.687,620.1,,,995.16,,-177.92,-395.83,5.22,6.41,2026-01-20 21:22:37
JOBY,5.087,1360.7,-125.73,3.17,978.12,-308.74,-477.22,-1054.58,15.05,1.02,2026-01-20 21:22:38
ACHR,5.356,1819.5,-59.13,5.19,1641.3,-316.54,-408.0,-627.4,3.49,2.54,2026-01-20 21:22:38
NTLA,13.09,620.9,-52.11,2.28,511.04,-223.88,-410.65,-445.81,1.93,6.46,2026-01-20 21:22:39
CRSP,11.014,1621.7,-25.33,9.26,1915.71,-206.82,-302.49,-488.3,2.62,20.41,2026-01-20 21:22:40
RXRX,7.868,460.4,-91.06,2.91,659.84,-227.07,-441.16,-715.54,2.19,2.13,2026-01-20 21:22:41
BEAM,15.675,601.7,-47.19,6.45,1074.97,-166.76,-338.18,-414.64,3.19,9.8,2026-01-20 21:22:42
QURE,232.425,711.7,-165.27,9.22,694.24,-75.26,-153.24,-235.15,6.21,3.68,2026-01-20 21:22:43
TEM,263.048,327.5,-72.61,7.01,759.64,-108.35,-220.55,-203.88,24.61,2.86,2026-01-20 21:22:44
HIMS,192.437,187.5,26.21,inf,629.74,195.08,325.08,133.79,12.29,2.55,2026-01-20 21:22:44
IONQ,1.246,872.6,-107.76,101.99,1082.37,-10.61,-248.1,-1466.04,7.27,6.99,2026-01-20 21:22:45
QBTS,5.934,5467.6,-122.03,22.63,836.23,-36.95,-51.59,-398.81,14.88,1.94,2026-01-20 21:22:46
RGTI,2.043,3922.1,-141.9,11.27,446.98,-39.65,-52.19,-350.96,22.41,1.14,2026-01-20 21:22:47
